id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email
1001;Srta. Caio Freitas;656.670.435-46;M;27/12/1948;1;SNI22VX0;False;;;05/09/2024 16:44;nicoleazevedo;28/04/2024 16:31;miguelmonteiro35;5,554190E+12;eduardo@uol.com.br
1002;Eduardo Rezende Moura;39.245.376/3243-49;;09/07/1948;2;;True;07/07/2024 07:52;amandamartins;14/06/2024 11:00;nataliafreitas;19/09/2024 23:47;sophiacavalcanti;5,556190E+12;cecilia@uol.com.br
1003;Isabela Moraes;777.191.658-86;O;10/10/1962;1;BGY301HP;False;;;26/07/2024 18:06;giovannacardoso59;26/07/2024 18:06;giovannacardoso59;5,556199E+12;bianca@uol.com.br
1004;Ian Mata Melo;249.351.271-96;O;12/10/1959;2;;True;25/10/2023 16:33;ceciliaramos23;26/07/2024 20:51;matheusjesus7;22/08/2024 14:01;henriquecavalcanti31;5,555199E+12;giovanna74@hotmail.com
1005;Sr. Nicole Silva;547.247.786-42;;25/05/1997;2;UYLS4EK4;False;;;18/07/2024 12:54;brunamonteiro;03/10/2023 07:06;biancateixeira;5,553199E+12;igor@hotmail.com
1006;Isis Jéssica Teixeira Alves;283.769.205-30;F;02/10/1979;2;;True;03/10/2023 05:03;vitorbarros;30/09/2024 14:17;felipeazevedo;30/09/2024 14:17;felipeazevedo;5,556196E+12;rafaela91@yahoo.com.br
1007;Srta. Bernardo Anthony Campos;067.367.178-16;M;18/08/1964;1;;True;11/10/2024 16:29;camilaalves;03/10/2023 03:38;leticiaramos;03/10/2023 03:38;leticiaramos;5,553198E+12;miguel29@uol.com.br
1008;Stella Alana Duarte;813.714.148-34;;04/02/1967;2;YZMK12KQ;True;19/05/2024 19:03;bernardomendes;14/03/2025 09:45;leonardomota;24/11/2024 23:40;anarodrigues73;5,555200E+12;yasmin96@gmail.com
1009;Srta. Melissa Reis;35.084.101/9922-21;;17/07/1956;2;;True;27/02/2024 01:47;danielafogaca64;29/08/2024 17:34;luizbarros31;04/11/2024 04:50;julianalopes;5,551191E+12;marina@ig.com.br
1010;Bruno Joaquim Pires;862.119.161-61;M;22/10/1962;2;SVQPW2P8;True;20/07/2024 06:25;aliceribeiro11;23/07/2024 18:34;giovannapereira;23/07/2024 18:34;giovannapereira;5,554199E+12;caio11@ig.com.br
1011;Dra. Nathan Joaquim Peixoto;49.307.551/3509-54;;29/08/2001;2;;True;18/07/2024 15:02;matheusmartins75;25/12/2024 18:36;anapaz71;13/10/2024 20:22;carolinamartins;5,554192E+12;aline@uol.com.br
1012;Sr. Pedro Pereira;349.252.966-31;M;02/10/1952;1;DX99I20J;True;26/06/2024 18:26;danielaazevedo;15/10/2024 14:51;brunaazevedo18;09/09/2024 06:20;brunosilveira;5,552192E+12;renan@yahoo.com.br
